genus,sp,subsp,common name,common name,state,status,notes
Epioblasma,obliquata,obliquata,cat's paw (=purple cat's paw pearlymussel),purple,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Epioblasma,florentina,walkeri,tan,Riffleshell,Alabama,Endangered,
Obovaria,retusa,,pink (mussel),Ring,Alabama,Endangered,
Athearnia,anthonyi,,Anthony's,Riversnail,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Leptoxis,foremani,,interrupted (=Georgia),Rocksnail,Alabama,Endangered,
Leptoxis,taeniata,,painted,Rocksnail,Alabama,Threatened,
Leptoxis,plicata,,plicate,Rocksnail,Alabama,Endangered,
Leptoxis,ampla,,round,Rocksnail,Alabama,Threatened,
Ambystoma,cingulatum,,frosted flatwoods,Salamander,Alabama,Threatened,
Phaeognathus,hubrichti,,Red Hills,Salamander,Alabama,Threatened,
Cottus,paulus,,pygmy,Sculpin,Alabama,Threatened,
Chelonia,mydas,,green,Sea turtle,Alabama,Threatened,except where endangered
Eretmochelys,imbricata,,hawksbill,Sea turtle,Alabama,Endangered,
Lepidochelys,kempii,,Kemp's ridley,Sea turtle,Alabama,Endangered,
Dermochelys,coriacea,,leatherback,Sea turtle,Alabama,Endangered,
Caretta,caretta,,loggerhead,Sea turtle,Alabama,Threatened,
Cyprinella,caerulea,,blue,Shiner,Alabama,Threatened,
Notropis,cahabae,,Cahaba,Shiner,Alabama,Endangered,
Notropis,albizonatus,,palezone,Shiner,Alabama,Endangered,
Palaemonias,alabamae,,Alabama cave,Shrimp,Alabama,Endangered,
Elliptio,chipolaensis,,Chipola,Slabshell,Alabama,Threatened,
Pyrgulopsis,pachyta,,armored,Snail,Alabama,Endangered,
Tulotoma,magnifica,,tulotoma,Snail,Alabama,Threatened,
Drymarchon,corais,couperi,eastern indigo,Snake,Alabama,Threatened,
Cumberlandia,monodonta,,,Spectaclecase (mussel),Alabama,Endangered,
Quadrula,stapes,,,Stirrupshell,Alabama,Endangered,
Mycteria,americana,,wood,Stork,Alabama,Endangered,
Scaphirhynchus,suttkusi,,Alabama,Sturgeon,Alabama,Endangered,
Acipenser,oxyrinchus,desotoi,gulf,Sturgeon,Alabama,Threatened,
Gopherus,polyphemus,,gopher,Tortoise,Alabama,Threatened,W of of Mobile/Tombigbee Rs. 
Pseudemys,alabamensis,,Alabama red-belly,Turtle,Alabama,Endangered,
Sternotherus,depressus,,flattened musk,Turtle,Alabama,Threatened,species range clarified 
Vermivora,bachmanii,,Bachman's,Warbler (=wood),Alabama,Endangered,
Plethobasus,cicatricosus,,white (pearlymussel),Wartyback,Alabama,Endangered,
Balaenoptera,physalus,,finback,Whale,Alabama,Endangered,
Megaptera,novaeangliae,,humpback,whale,Alabama,Endangered,
Canis,lupus,,gray,Wolf,Alabama,Endangered, U.S.A.: All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT WV those portions of AZ NM and TX not included in an experimental population; and portions of IA IN IL ND OH OR SD UT and WA. Mexico 
Picoides,borealis,,red-cockaded,Woodpecker,Alabama,Endangered,
Amphianthus,pusillus,,little,Amphianthus,Alabama,Threatened,
Lesquerella,lyrata,,lyrate,Bladderpod,Alabama,Threatened,
Marshallia,mohrii,,Mohr's Barbara,Button,Alabama,Threatened,
Schwalbea,americana,,American,Chaffseed,Alabama,Endangered,
Thelypteris,pilosa,alabamensis,Alabama streak-sorus,Fern,Alabama,Threatened,
Asplenium,scolopendrium,americanum,American hart's-tongue,Fern,Alabama,Threatened,
Xyris,tennesseensis,,Tennessee yellow-eyed,Grass,Alabama,Endangered,
nodosum,,,Ptilimnium,Harperella,Alabama,Endangered,
Clematis,socialis,,Alabama,Leather flower,Alabama,Endangered,
Clematis,morefieldii,,Morefield's,Leather flower,Alabama,Endangered,
Spigelia,gentianoides,,gentian,Pinkroot,Alabama,Endangered,
Sarracenia,rubra,alabamensis,Alabama canebrake,Pitcher-plant,Alabama,Endangered,
Sarracenia,oreophila,,green,Pitcher-plant,Alabama,Endangered,
melissifolia,,,Lindera,Pondberry,Alabama,Endangered,
Apios,priceana,,Price's,Potato-bean,Alabama,Threatened,
Dalea,foliosa,,leafy,Prairie-clover,Alabama,Endangered,
Trillium,reliquum,,relict,Trillium,Alabama,Endangered,
Sagittaria,secundifolia,,Kral's,Water-plantain,Alabama,Threatened,
Phoebastria,albatrus,,Albatross, short-tailed,Alaska,Endangered,
Ursus,maritimus,,Bear, polar,Alaska,Threatened,
Rangifer,tarandus,caribou,Caribou,woodland,Alaska,Endangered,Selkirk Mountain population
Numenius,borealis,,Curlew,Eskimo,Alaska,Endangered,
Somateria,fischeri,,Eider,spectacled,Alaska,Threatened,
Polysticta,stelleri,,Eider,Steller's,Alaska,Threatened,AK breeding pop. 
Lynx,canadensis,,Lynx,Canada,Alaska,Threatened,Contiguous U.S. DPS)
Brachyramphus,marmoratus,,Murrelet,marbled,Alaska,Threatened,CA OR WA
Enhydra,lutris,kenyoni,Otter,Northern Sea,Alaska,Threatened,southwest Alaska DPS
Oncorhynchus,kisutch,,Salmon,coho,Alaska,Endangered,Central California Coast ESU
Eumetopias,jubatus,,Sea-lion,Steller,Alaska,Threatened,eastern pop.
Eumetopias,jubatus,,Sea-lion,Steller,Alaska,Endangered,western pop.
Dermochelys,coriacea,,Sea turtle,leatherback,Alaska,Endangered,
Acipenser,transmontanus,,Sturgeon, white,Alaska,Endangered, MT) Canada (B.C.) Kootenai R. system
Salvelinus,confluentus,,Trout, bull,Alaska,Threatened,conterminous lower 48 states ()
Balaena,mysticetus,,Whale,bowhead,Alaska,Endangered,
Balaenoptera,physalus,,Whale,finback,Alaska,Endangered,
Megaptera,novaeangliae,,Whale,humpback,Alaska,Endangered,
Polystichum,aleuticum,,Fern,Aleutian shield,Alaska,Endangered,
Oxyloma,haydeni,kanabensis,Kanab,Ambersnail,Arizona,Endangered,
Leptonycteris,curasoae,yerbabuenae,lesser long-nosed,Bat,Arizona,Endangered,
Ursus,arctos,horribilis,grizzly,Bear,Arizona,Threatened,lower 48 States except where listed as an experimental population or delisted
Colinus,virginianus,ridgwayi,masked (quail),Bobwhite,Arizona,Endangered,
Polyborus,plancus,audubonii,Audubon's crested,Caracara,Arizona,Threatened,FL pop.
Ictalurus,pricei,,Yaqui,Catfish,Arizona,Threatened,
Gila,elegans,,bonytail,Chub,Arizona,Endangered,entire
Gila,intermedia,,Gila,Chub,Arizona,Endangered,
Gila,cypha,,humpback,Chub,Arizona,Endangered,entire
Gila,ditaenia,,Sonora,Chub,Arizona,Threatened,
Gila,seminuda,,Virgin River,Chub,Arizona,Endangered,
Gila,purpurea,,Yaqui,Chub,Arizona,Endangered,
Gymnogyps,californianus,,California,Condor,Arizona,Endangered,Entire except where listed as an experimental population below
Numenius,borealis,,Eskimo,Curlew,Arizona,Endangered,
Falco,femoralis,septentrionalis,northern aplomado,falcon,Arizona,Endangered,Entire except where listed as an experimental population
Mustela,nigripes,,black-footed,Ferret,Arizona,Endangered,entire population except where EXPN
Empidonax,traillii,extimus,southwestern willow,Flycatcher,Arizona,Endangered,
Rana,chiricahuensis,,Chiricahua leopard,Frog,Arizona,Threatened,
onca,,,Panthera,Jaguar,Arizona,Endangered,
Herpailurus,yagouaroundi,tolteca,Sinaloan,Jaguarundi,Arizona,Endangered,
Tiaroga,cobitis,,loach,Minnow,Arizona,Endangered,
Leopardus,pardalis,,,Ocelot,Arizona,Endangered,
Strix,occidentalis,lucida,Mexican spotted,Owl,Arizona,Threatened,
Rhynchopsitta,pachyrhyncha,,thick-billed,Parrot,Arizona,Endangered,
Ptychocheilus,lucius,,,Pikeminnow,Arizona,Endangered,Colorado except Salt and Verde R. drainages AZ
Charadrius,alexandrinus,nivosus,western snowy,Plover,Arizona,Threatened,Pacific coastal pop.
Antilocapra,americana,sonoriensis,Sonoran,Pronghorn,Arizona,Endangered,entire
Cyprinodon,macularius,,desert,Pupfish,Arizona,Endangered,
Rallus,longirostris,yumanensis,Yuma clapper,Rail,Arizona,Endangered,USA only
Crotalus,willardi,obscurus,New Mexican ridge-nosed,Rattlesnake,Arizona,Threatened,
Ambystoma,tigrinum,stebbinsi,Sonora tiger,Salamander,Arizona,Endangered,
Cyprinella,formosa,,beautiful,Shiner,Arizona,Threatened,
fulgida,,,Meda,Spikedace,Arizona,Endangered,
Lepidomeda,vittata,,Little Colorado,Spinedace,Arizona,Threatened,
Pyrgulopsis,bernardina,,San Bernardino,springsnail,Arizona,Endangered,
Pyrgulopsis,trivialis,,Three Forks,Springsnail,Arizona,Endangered,
Tamiasciurus,hudsonicus,grahamensis,Mount Graham red,Squirrel,Arizona,Endangered,
Mycteria,americana,,wood,Stork,Arizona,Endangered,AL FL GA SC
Xyrauchen,texanus,,razorback,Sucker,Arizona,Endangered,entire
Poeciliopsis,occidentalis,,Gila,Topminnow,Arizona,Endangered,U.S.A. only
Gopherus,agassizii,,desert,Tortoise,Arizona,Threatened,U.S.A. except in Sonoran Desert
Oncorhynchus,apache,,Apache,Trout,Arizona,Threatened,
Oncorhynchus,gilae,,Gila,Trout,Arizona,Threatened,
Microtus,mexicanus,hualpaiensis,Hualapai Mexican,Vole,Arizona,Endangered,
Canis,lupus,, gray,Wolf,Arizona,Endangered,U.S.A.: All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT and WV those portions of AZ NM and TX not included in an experimental population and portions of IA IN IL ND OH OR SD UT and WA Mexico
Plagopterus,argentissimus,,,Woundfin,Arizona,Endangered,except Gila R. drainage AZ NM
Amsonia,kearneyana,,Kearney's,Blue-star,Arizona,Endangered,
Echinocereus,triglochidiatus,arizonicus,Arizona hedgehog,Cactus,Arizona,Endangered,
Pediocactus,bradyi,,Brady pincushion,Cactus,Arizona,Endangered,
Coryphantha,robbinsorum,,Cochise pincushion,Cactus,Arizona,Threatened,
Echinocactus,horizonthalonius,nicholii,Nichol's Turk's head,Cactus,Arizona,Endangered,
Pediocactus,peeblesianus,peeblesianus,Peebles Navajo,Cactus,Arizona,Endangered,
Coryphantha,scheeri,robustispina,Pima pineapple,Cactus,Arizona,Endangered,
Pediocactus,sileri,,Siler pincushion,Cactus,Arizona,Threatened,
Purshia,subintegra,,Arizona,Cliff-rose,Arizona,Endangered,
Cycladenia,jonesii,,Jones,Cycladenia,Arizona,Threatened,
Senecio,franciscanus,,San Francisco Peaks,Groundsel,Arizona,Threatened,
Spiranthes,delitescens,,Canelo Hills,Ladies'-tresses,Arizona,Endangered,
Astragalus,holmgreniorum,,Holmgren,Milk-vetch,Arizona,Endangered,
Astragalus,cremnophylax,cremnophylax,Sentry,Milk-vetch,Arizona,Endangered,
Asclepias,welshii,,Welsh's,Milkweed,Arizona,Threatened,
Carex,specuicola,,Navajo,Sedge,Arizona,Threatened,
Lilaeopsis,schaffneriana,recurva,Huachuca,Water-umbel,Arizona,Endangered,
Myotis,grisescens,,gray,Bat,Arkansas,Endangered,
Myotis,sodalis,,Indiana,Bat,Arkansas,Endangered,
Corynorhinus,townsendii,ingens,Ozark big-eared,Bat,Arkansas,Endangered,
Nicrophorus,americanus,,American burying,Beetle,Arkansas,Endangered,
Amblyopsis,rosae,,Ozark,Cavefish,Arkansas,Threatened,
Cambarus,aculabrum,,cave,Crayfish,Arkansas,Endangered,
Cambarus,zophonastes,,cave,Crayfish,Arkansas,Endangered,
Numenius,borealis,,Eskimo,Curlew,Arkansas,Endangered,
Percina,pantherina,,leopard,Darter,Arkansas,Threatened,
Etheostoma,moorei,,yellowcheek,Darter,Arkansas,Endangered,
Lampsilis,powellii,,Arkansas,fatmucket,Arkansas,Threatened,
Cryptobranchus,alleganiensis,bishopi,Ozark,Hellbender,Arkansas,Endangered,
Lampsilis,abrupta,,pink (pearlymussel),Mucket,Arkansas,Endangered,
Leptodea,leptodon,,scaleshell,Mussel,Arkansas,Endangered,
Epioblasma,triquetra,,snuffbox,Mussel,Arkansas,Endangered,
Puma,concolor,coryi,Florida,Panther,Arkansas,Endangered,
Epioblasma,florentina,curtisii,Curtis,Pearlymussel,Arkansas,Endangered,
Potamilus,capax,,fat,Pocketbook,Arkansas,Endangered,
Arkansia,wheeleri,,Ouachita rock,Pocketbook,Arkansas,Endangered,
Lampsilis,streckeri,,speckled,Pocketbook,Arkansas,Endangered,
Mesodon,magazinensis,,Magazine Mountain,Shagreen,Arkansas,Threatened,
Notropis,girardi,,Arkansas River,Shiner,Arkansas,Threatened,Arkansas R. Basin
Cumberlandia,monodonta,,,Spectaclecase (mussel),Arkansas,Endangered,
Scaphirhynchus,albus,,pallid,Sturgeon,Arkansas,Endangered,
Sterna,antillarum,,least,Tern,Arkansas,Endangered,interior pop
Canis,lupus,,gray,Wolf,Arkansas,Endangered,U.S.A.: All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT and WV those portions of AZ NM and TX not included in an experimental population and portions of IA IN IL ND OH OR SD UT and WA Mexico
Campephilus,principalis,,ivory-billed,Woodpecker,Arkansas,Endangered,entire
Picoides,borealis,,red-cockaded,Woodpecker,Arkansas,Endangered,
Physaria,filiformis,,Missouri,bladderpod,Arkansas,Threatened,
Trifolium,stoloniferum,,running buffalo,Clover,Arkansas,Endangered,
Ptilimnium,nodosum,,,Harperella,Arkansas,Endangered,
Geocarpon,minimum,,,,Arkansas,Threatened,
Platanthera,leucophaea,,eastern prairie fringed,Orchid,Arkansas,Threatened,
Lindera,melissifolia,,,Pondberry,Arkansas,Endangered,
Haliotis,sorenseni,,White North America,Abalone,California,Endangered,West Coast from Point Conception CA U.S.A. to Punta Abreojos Baja California Mexico
Phoebastria,albatrus,,short-tailed,Albatross,California,Endangered,
Ursus,arctos,horribilis, grizzly,Bear,California,Threatened,horribilis
Elaphrus,viridis,,delta green ground,Beetle,California,Threatened,
Polyphylla,barbata,,Mount Hermon June,Beetle,California,Endangered,
Desmocerus,californicus,dimorphus,valley elderberry longhorn,Beetle,California,Threatened,
Euphydryas,editha,bayensis,bay checkerspot,Butterfly,California,Threatened,
Speyeria,zerene,behrensii,Behren's silverspot,Butterfly,California,Endangered,
Speyeria,callippe,callippe,callippe silverspot,Butterfly,California,Endangered,
Euphilotes,battoides,allyni,ElSegundo blue,Butterfly,California,Endangered,
Apodemia,mormo,langei,Lange's metalmark,Butterfly,California,Endangered,
blue,Lycaeides,argyrognomon,lotis,Butterfly,California,Endangered,
blue,Icaricia,icarioides,mission,Butterfly,California,Endangered,
Speyeria,zerene,myrtleae,Myrtle's silverspot,Butterfly,California,Endangered,
Speyeria,zerene,hippolyta,Oregon silverspot,Butterfly,California,Threatened,
Glaucopsyche,lygdamus,palosverdesensis,Palos Verdes blue,Butterfly,California,Endangered,
Euphydryas,editha,quino,Quino checkerspot,Butterfly,California,Endangered,
Callophrys,mossii,bayensis,San Bruno elfin,Butterfly,California,Endangered,
Euphilotes,enoptes,smithi,Smith's blue,Butterfly,California,Endangered,
Gila,elegans,entire,bonytail,Chub,California,Endangered,entire
Gila,bicolor,mohavensis,Mohave tui,Chub,California,Endangered,
Gymnogyps,californianus,,California,Condor,California,Endangered,Entire except where listed as an experimental population below
Pacifastacus,fortis,,Shasta,Crayfish,California,Endangered,
Numenius,borealis,,Eskimo,Curlew,California,Endangered,
Branchinecta,conservatio,,Conservancy,Fairy shrimp,California,Endangered,
Branchinecta,longiantenna,,longhorn,Fairy shrimp,California,Endangered,
Streptocephalus,woottoni,,Riverside,Fairy shrimp,California,Endangered,
Branchinecta,sandiegonensis,,San Diego,Fairy shrimp,California,Endangered,
Branchinecta,lynchi,,vernal pool,Fairy shrimp,California,Threatened,
Empidonax,traillii,extimus,southwestern willow,Flycatcher,California,Endangered,
Rhaphiomidas,terminatus,abdominalis,Delhi Sands flower-loving,Fly,California,Endangered,
Vulpes,macrotis,mutica,San Joaquin kit,Fox,California,Endangered,
Urocyon,littoralis,littoralis,San Miguel Island,Fox,California,Endangered,
Urocyon,littoralis,catalinae,Santa Catalina Island,Fox,California,Endangered,
Urocyon,littoralis,santacruzae,Santa Cruz Island,Fox,California,Endangered,
Urocyon,littoralis,santarosae,Santa Rosa Island,Fox,California,Endangered,
Rana,draytonii,,California red-legged,Frog,California,Threatened,Entire
Rana ,muscosa,,mountain yellow-legged,Frog,California,Endangered,southern California DPS
Polioptila,californica,californica,coastal California,Gnatcatcher,California,Threatened,
Eucyclogobius,newberryi,,tidewater,Goby,California,Endangered,entire
band-winged,Trimerotropis,infantilis,Zayante,Grasshopper,California,Endangered,
Panthera,onca,,,Jaguar,California,Endangered,
Dinacoma,caseyi,, Caseys,June Beetle,California,Endangered,
Dipodomys, nitratoides, exilis, Fresno,Kangaroo rat,California,Endangered,
Dipodomys, ingens,, giant,Kangaroo rat,California,Endangered,
Dipodomys, heermanni, morroensis, Morro Bay,Kangaroo rat,California,Endangered,
 Dipodomys, merriami, parvus, San Bernardino Merriam's,Kangaroo rat,California,Endangered,
Dipodomys, stephensi,, Stephens',Kangaroo rat,California,Endangered,
Dipodomys,nitratoides, nitratoides, Tipton,Kangaroo rat,California,Endangered,
Gambelia, silus,, blunt-nosed leopard,Lizard,California,Endangered,
Uma, inornata,, Coachella Valley fringe-toed,Lizard,California,Threatened,
Xantusia, riversiana,, Island night,Lizard,California,Threatened,
 Euproserpinus,euterpe,, Kern primrose sphinx,Moth,California,Threatened,
Aplodontia,rufa,nigra,Point Arena,Mountain beaver,California,Endangered,
Perognathus,longimembris,pacificus,Pacific pocket,Mouse,California,Endangered,
Reithrodontomys,raviventris,,salt marsh harvest,Mouse,California,Endangered,
Brachyramphus,marmoratus,,marbled,Murrelet,California,Threatened, CA OR WA
 Enhydra,lutris, nereis, southern sea,Otter,California,Threatened,
Strix, occidentalis, caurina, northern spotted,Owl,California,Threatened,
 Ptychocheilus, lucius,,,Pikeminnow,California,Endangered,Colorado except Salt and Verde R. drainages AZ
 Charadrius, alexandrinus, nivosus, western snowy,Plover,California,Threatened,
 Cyprinodon, macularius,, desert,Pupfish,California,Endangered,
 Cyprinodon, radiosus,, Owens,Pupfish,California,Endangered,
 Sylvilagus, bachmani, riparius, riparian brush,Rabbit,California,Endangered,
Rallus,longirostris,obsoletus, California clapper,Rail,California,Endangered,
Rallus ,longirostris,, light-footed clapper,Rail,California,Endangered,
Rallus ,longirostris ,, Yuma clapper,Rail,California,Endangered,
Ambystoma, californiense,, California tiger,Salamander,California,Endangered,
Ambystoma, californiense,, California tiger,Salamander,California,Endangered,
Ambystoma, californiense,, California tiger,Salamander,California,Threatened,
Batrachoseps,aridus,, desert slender,Salamander,California,Endangered,
Ambystoma, macrodactylum, croceum, Santa Cruz long-toed,Salamander,California,Endangered,
Oncorhynchus,tshawytscha,, chinook,Salmon,California,Threatened,CA coastal
Oncorhynchus, tshawytscha,, chinook,Salmon,California,Threatened,Central Valley spring-run ESU
Oncorhynchus, tshawytscha,, chinook,Salmon,California,Endangered,
Oncorhynchus, kisutch,, coho,Salmon,California,Endangered,Central California Coast ESU
Oncorhynchus, kisutch,, coho,Salmon,California,Threatened,Southern Oregon–Northern California Coast ESU
Oncorhynchus, nerka,, sockeye,Salmon,California,Threatened,U.S.A. 
Oncorhynchus, nerka,, sockeye,Salmon,California,Endangered,U.S.A. 
Arctocephalus, townsendi,, Guadalupe fur,Seal,California,Threatened,
Eumetopias, jubatus,,Steller,Sea-lion,California,Threatened, eastern pop.
 Eumetopias, jubatus,, Steller,Sea-lion,California,Endangered, western pop.
 Chelonia, mydas,, green,Sea turtle,California,Threatened, except where endangered
Dermochelys,coriacea,, leatherback,Sea turtle,California,Endangered,
Caretta, caretta,, loggerhead ,Sea turtle,California,Threatened,
 Lepidochelys, olivacea,, olive ridley,Sea turtle,California,Threatened,except where endangered
Ovis, canadensis, nelsoni, Peninsular bighorn,Sheep,California,Endangered,
Ovis, canadensis, sierrae, Sierra Nevada bighorn,Sheep,California,Endangered,
 Sorex, ornatus, relictus, Buena Vista Lake ornate,Shrew,California,Endangered,
 Lanius, ludovicianus, mearnsi, San Clemente loggerhead,Shrike,California,Endangered,
Syncaris, pacifica,, California freshwater ,Shrimp,California,Endangered,
Pseudocopaeodes, eunus, obscurus, Carson wandering ,Skipper,California,Endangered,
 Pyrgus, ruralis, lagunae, Laguna Mountains,Skipper,California,Endangered,
Hypomesus, transpacificus,, delta,Smelt,California,Threatened,
Helminthoglypta, walkeriana,, Morro shoulderband,Snail,California,Endangered,
Thamnophis, gigas,, giant garter,Snake,California,Threatened,
Thamnophis, sirtalis, tetrataenia, San Francisco garter,Snake,California,Endangered,
Amphispiza, belli, clementeae, San Clemente sage,Sparrow,California,Threatened,
Oncorhynchus, mykiss,, central CA coast,Steelhead,California,Threatened,
Oncorhynchus, mykiss,, Central Valley CA,Steelhead,California,Threatened,
Oncorhynchus,mykiss,, northern CA,Steelhead,California,Threatened,
Oncorhynchus, mykiss,, south central CA coast,Steelhead,California,Threatened,
Oncorhynchus,mykiss,, southern CA coast,Steelhead,California,Endangered,
Gasterosteus, aculeatus, williamsoni, unarmored threespine,Stickleback,California,Endangered,
 Mycteria, americana,, wood,Stork,California,Endangered, AL FL GA SC 
 Acipenser, medirostris,, North American green,Sturgeon,California,Threatened, U.S.A. 
 Acipenser, transmontanus,, white,Sturgeon,California,Endangered, U.S.A. 
 Deltistes, luxatus,, Lost River,Sucker,California,Endangered,
 Catostomus, microps,, Modoc,Sucker,California,Endangered,
 Xyrauchen, texanus,, razorback,Sucker,California,Endangered, entire
 Catostomus, santaanae,, Santa Ana 3 CA river basins,Sucker,California,Threatened,
 Chasmistes, brevirostris,, shortnose,Sucker,California,Endangered,
 Lepidurus, packardi,, vernal pool,Tadpole shrimp,California,Endangered,
Sterna, antillarum, browni, California least ,Tern,California,Endangered,
 Cicindela, ohlone,, Ohlone,Tiger beetle,California,Endangered,
 Bufo, microscaphus,, arroyo,Toad,California,Endangered,
 Gopherus, agassizii,, desert,Tortoise,California,Threatened, U.S.A. except in Sonoran Desert
 Pipilo, crissalis, eremophilus, Inyo California,Towhee,California,Threatened,
 Salvelinus, confluentus,, bull,Trout,California,Threatened, U.S.A. conterminous lower 48 states
